Average Error : 121
( Flowid , Estimated flow Size , actual flow size ) 
( 104.17.183.118 , 9956 , 9956 )
( 52.84.76.175 , 9888 , 9450 )
( 104.154.198.228 , 9880 , 9835 )
( 159.178.108.111 , 9856 , 9848 )
( 187.237.14.200 , 9772 , 9747 )
( 103.26.37.253 , 9743 , 9324 )
( 159.178.107.44 , 9686 , 8698 )
( 159.178.237.53 , 9683 , 9681 )
( 70.187.95.95 , 9510 , 9510 )
( 88.231.33.95 , 9432 , 8968 )
( 159.178.102.100 , 9143 , 8733 )
( 165.215.209.15 , 9065 , 8982 )
( 157.55.39.140 , 8997 , 8058 )
( 73.224.42.241 , 8918 , 8910 )
( 216.52.195.182 , 8901 , 8584 )
( 23.202.88.31 , 8759 , 8462 )
( 54.230.161.109 , 8679 , 8673 )
( 104.92.17.82 , 8390 , 8390 )
( 96.7.182.150 , 8380 , 8364 )
( 149.169.208.76 , 8360 , 8030 )
( 128.227.112.222 , 7908 , 7904 )
( 104.16.89.188 , 7897 , 7867 )
( 156.154.65.196 , 7851 , 7597 )
( 120.239.64.18 , 7851 , 7122 )
( 69.252.101.144 , 7773 , 7763 )
( 66.249.64.14 , 7733 , 7701 )
( 91.198.117.247 , 7638 , 7394 )
( 159.178.137.117 , 7583 , 7581 )
( 34.206.148.175 , 7485 , 7485 )
( 159.178.112.71 , 7409 , 7315 )
( 68.64.22.136 , 7402 , 7262 )
( 63.251.240.12 , 7386 , 7380 )
( 192.210.199.106 , 7376 , 7374 )
( 159.178.115.102 , 7339 , 7063 )
( 174.70.89.126 , 7293 , 7291 )
( 172.217.8.80 , 7279 , 7187 )
( 8.27.160.227 , 7272 , 7272 )
( 112.198.103.2 , 7054 , 6652 )
( 159.178.129.112 , 7026 , 7011 )
( 73.224.76.160 , 6966 , 6946 )
( 98.18.16.218 , 6944 , 6944 )
( 71.6.146.185 , 6808 , 6808 )
( 159.178.129.91 , 6801 , 6783 )
( 98.18.150.191 , 6722 , 6714 )
( 95.101.36.67 , 6666 , 6666 )
( 54.192.205.183 , 6559 , 6537 )
( 159.178.108.48 , 6505 , 6501 )
( 209.112.113.33 , 6494 , 6487 )
( 159.178.32.133 , 6493 , 5890 )
( 159.178.100.162 , 6410 , 6392 )
( 209.73.179.8 , 6373 , 5108 )
( 198.245.89.70 , 6296 , 6296 )
( 159.178.119.40 , 6166 , 6164 )
( 171.161.207.200 , 6140 , 6136 )
( 159.178.100.82 , 6124 , 6058 )
( 178.33.214.223 , 6124 , 5946 )
( 159.178.100.33 , 6051 , 5996 )
( 69.241.99.178 , 5979 , 4769 )
( 204.74.115.1 , 5932 , 5681 )
( 159.178.100.84 , 5915 , 5867 )
( 207.46.13.156 , 5910 , 5892 )
( 216.58.219.67 , 5872 , 5122 )
( 66.231.139.112 , 5864 , 5862 )
( 159.178.109.180 , 5787 , 5744 )
( 198.102.61.236 , 5756 , 5752 )
( 66.87.114.206 , 5724 , 5722 )
( 69.172.201.238 , 5695 , 5690 )
( 104.92.16.146 , 5611 , 5571 )
( 54.192.205.60 , 5605 , 5543 )
( 23.211.61.67 , 5598 , 4250 )
( 128.227.220.36 , 5573 , 5525 )
( 35.190.151.98 , 5546 , 5524 )
( 99.166.162.58 , 5542 , 5530 )
( 204.13.250.5 , 5539 , 2124 )
( 59.45.175.56 , 5536 , 5172 )
( 199.204.59.137 , 5504 , 5472 )
( 184.50.26.236 , 5486 , 5254 )
( 149.111.148.27 , 5463 , 5421 )
( 167.68.20.174 , 5425 , 5423 )
( 23.15.61.170 , 5420 , 5396 )
( 40.76.218.33 , 5386 , 5386 )
( 212.227.17.4 , 5360 , 5356 )
( 17.249.156.24 , 5344 , 168 )
( 107.77.218.214 , 5268 , 5254 )
( 24.236.111.9 , 5224 , 5216 )
( 216.200.96.194 , 5175 , 5168 )
( 96.7.49.194 , 5160 , 5139 )
( 170.146.96.193 , 5140 , 4926 )
( 128.227.71.18 , 5136 , 4926 )
( 128.227.236.254 , 5116 , 5102 )
( 104.92.12.53 , 5094 , 5000 )
( 188.184.36.52 , 5091 , 4904 )
( 159.178.108.184 , 5044 , 5038 )
( 208.80.124.2 , 5004 , 5001 )
( 159.178.96.156 , 5003 , 4992 )
( 208.80.125.4 , 4984 , 4966 )
( 104.17.8.41 , 4980 , 4932 )
( 128.227.111.65 , 4885 , 4878 )
( 54.67.57.25 , 4871 , 4848 )
( 72.47.228.169 , 4868 , 4702 )
