Average Error : 236
( Flowid , Estimated flow Size , actual flow size ) 
( 104.17.183.118 , 10174 , 9956 )
( 159.178.108.111 , 9848 , 9848 )
( 104.154.198.228 , 9835 , 9835 )
( 187.237.14.200 , 9768 , 9747 )
( 159.178.237.53 , 9695 , 9681 )
( 70.187.95.95 , 9518 , 9510 )
( 52.84.76.175 , 9456 , 9450 )
( 103.26.37.253 , 9337 , 9324 )
( 159.178.102.100 , 9060 , 8733 )
( 165.215.209.15 , 8988 , 8982 )
( 88.231.33.95 , 8975 , 8968 )
( 216.52.195.182 , 8928 , 8584 )
( 73.224.42.241 , 8909 , 8910 )
( 23.202.88.31 , 8840 , 8462 )
( 159.178.107.44 , 8698 , 8698 )
( 104.92.17.82 , 8390 , 8390 )
( 98.18.16.218 , 8217 , 6944 )
( 149.169.208.76 , 8108 , 8030 )
( 157.55.39.140 , 8058 , 8058 )
( 172.217.8.80 , 8004 , 7187 )
( 54.230.161.109 , 7830 , 8673 )
( 159.178.100.33 , 7782 , 5996 )
( 128.227.112.222 , 7756 , 7904 )
( 156.154.65.196 , 7705 , 7597 )
( 64.98.42.88 , 7694 , 2 )
( 66.249.64.14 , 7681 , 7701 )
( 174.70.89.126 , 7618 , 7291 )
( 95.101.36.67 , 7597 , 6666 )
( 73.224.76.160 , 7585 , 6946 )
( 96.7.182.150 , 7581 , 8364 )
( 159.178.137.117 , 7581 , 7581 )
( 34.206.148.175 , 7548 , 7485 )
( 68.64.22.136 , 7478 , 7262 )
( 63.251.240.12 , 7410 , 7380 )
( 192.210.199.106 , 7384 , 7374 )
( 159.178.108.48 , 7373 , 6501 )
( 8.27.160.227 , 7354 , 7272 )
( 159.178.112.71 , 7297 , 7315 )
( 91.198.117.247 , 7259 , 7394 )
( 198.245.89.70 , 7145 , 6296 )
( 120.239.64.18 , 7135 , 7122 )
( 159.178.115.102 , 7016 , 7063 )
( 104.16.89.188 , 6959 , 7867 )
( 69.252.101.144 , 6855 , 7763 )
( 159.178.129.91 , 6796 , 6783 )
( 98.18.150.191 , 6795 , 6714 )
( 112.198.103.2 , 6667 , 6652 )
( 159.178.129.112 , 6595 , 7011 )
( 54.192.205.183 , 6525 , 6537 )
( 159.178.100.162 , 6408 , 6392 )
( 171.161.207.200 , 6237 , 6136 )
( 174.233.130.2 , 6237 , 128 )
( 70.185.106.200 , 6227 , 3452 )
( 159.178.119.40 , 6180 , 6164 )
( 207.46.13.156 , 6098 , 5892 )
( 159.178.100.82 , 6050 , 6058 )
( 178.33.214.223 , 5950 , 5946 )
( 159.178.32.133 , 5890 , 5890 )
( 159.178.100.84 , 5879 , 5867 )
( 71.6.146.185 , 5878 , 6808 )
( 128.227.220.36 , 5874 , 5525 )
( 98.110.203.77 , 5853 , 20 )
( 209.112.113.33 , 5826 , 6487 )
( 198.102.61.236 , 5746 , 5752 )
( 159.178.109.180 , 5731 , 5744 )
( 66.87.114.206 , 5726 , 5722 )
( 195.253.64.4 , 5726 , 4 )
( 69.172.201.238 , 5699 , 5690 )
( 204.74.115.1 , 5681 , 5681 )
( 24.236.111.9 , 5642 , 5216 )
( 35.190.151.98 , 5621 , 5524 )
( 188.184.36.52 , 5616 , 4904 )
( 159.178.108.184 , 5592 , 5038 )
( 189.155.251.163 , 5584 , 10 )
( 99.166.162.58 , 5544 , 5530 )
( 54.192.205.60 , 5482 , 5543 )
( 186.60.147.226 , 5438 , 18 )
( 199.204.59.137 , 5433 , 5472 )
( 212.227.17.4 , 5430 , 5356 )
( 167.68.20.174 , 5408 , 5423 )
( 40.76.218.33 , 5388 , 5386 )
( 23.15.61.170 , 5378 , 5396 )
( 66.231.139.112 , 5375 , 5862 )
( 184.50.26.236 , 5260 , 5254 )
( 107.77.218.214 , 5258 , 5254 )
( 208.80.125.4 , 5250 , 4966 )
( 159.178.115.79 , 5250 , 275 )
( 217.237.150.89 , 5249 , 17 )
( 103.37.82.156 , 5190 , 220 )
( 96.7.49.194 , 5163 , 5139 )
( 128.227.236.254 , 5110 , 5102 )
( 59.45.175.56 , 5101 , 5172 )
( 159.178.123.64 , 5055 , 3862 )
( 148.177.1.213 , 5025 , 3788 )
( 128.227.71.18 , 5012 , 4926 )
( 104.17.8.41 , 4955 , 4932 )
( 149.111.148.27 , 4925 , 5421 )
( 128.227.111.65 , 4919 , 4878 )
( 159.178.100.234 , 4880 , 4717 )
( 124.122.190.54 , 4880 , 2 )
