Average Error : 124
( Flowid , Estimated flow Size , actual flow size ) 
( 104.17.183.118 , 9960 , 9956 )
( 159.178.108.111 , 9859 , 9848 )
( 104.154.198.228 , 9837 , 9835 )
( 187.237.14.200 , 9787 , 9747 )
( 159.178.237.53 , 9777 , 9681 )
( 52.84.76.175 , 9526 , 9450 )
( 70.187.95.95 , 9510 , 9510 )
( 73.224.42.241 , 9502 , 8910 )
( 103.26.37.253 , 9418 , 9324 )
( 216.52.195.182 , 9292 , 8584 )
( 88.231.33.95 , 9199 , 8968 )
( 159.178.112.71 , 9058 , 7315 )
( 149.169.208.76 , 9032 , 8030 )
( 165.215.209.15 , 8982 , 8982 )
( 159.178.107.44 , 8771 , 8698 )
( 159.178.102.100 , 8745 , 8733 )
( 54.230.161.109 , 8705 , 8673 )
( 23.202.88.31 , 8481 , 8462 )
( 104.92.17.82 , 8392 , 8390 )
( 96.7.182.150 , 8380 , 8364 )
( 157.55.39.140 , 8176 , 8058 )
( 34.206.148.175 , 8014 , 7485 )
( 104.16.89.188 , 7982 , 7867 )
( 128.227.112.222 , 7929 , 7904 )
( 159.178.137.117 , 7817 , 7581 )
( 66.249.64.14 , 7805 , 7701 )
( 69.252.101.144 , 7797 , 7763 )
( 156.154.65.196 , 7597 , 7597 )
( 63.251.240.12 , 7496 , 7380 )
( 172.217.8.80 , 7488 , 7187 )
( 198.245.89.70 , 7462 , 6296 )
( 91.198.117.247 , 7399 , 7394 )
( 68.64.22.136 , 7385 , 7262 )
( 98.18.150.191 , 7383 , 6714 )
( 192.210.199.106 , 7380 , 7374 )
( 174.70.89.126 , 7291 , 7291 )
( 8.27.160.227 , 7286 , 7272 )
( 120.239.64.18 , 7124 , 7122 )
( 159.178.115.102 , 7089 , 7063 )
( 159.178.129.112 , 7015 , 7011 )
( 73.224.76.160 , 6954 , 6946 )
( 98.18.16.218 , 6950 , 6944 )
( 71.6.146.185 , 6824 , 6808 )
( 159.178.129.91 , 6790 , 6783 )
( 95.101.36.67 , 6670 , 6666 )
( 112.198.103.2 , 6660 , 6652 )
( 54.192.205.183 , 6537 , 6537 )
( 159.178.108.48 , 6503 , 6501 )
( 209.112.113.33 , 6489 , 6487 )
( 159.178.100.162 , 6440 , 6392 )
( 159.178.100.82 , 6313 , 6058 )
( 159.178.119.40 , 6179 , 6164 )
( 171.161.207.200 , 6156 , 6136 )
( 207.46.13.156 , 6151 , 5892 )
( 159.178.100.84 , 6137 , 5867 )
( 159.178.100.33 , 6029 , 5996 )
( 69.172.201.238 , 5952 , 5690 )
( 178.33.214.223 , 5950 , 5946 )
( 104.92.16.146 , 5892 , 5571 )
( 159.178.32.133 , 5892 , 5890 )
( 35.190.151.98 , 5868 , 5524 )
( 66.231.139.112 , 5862 , 5862 )
( 204.74.115.1 , 5812 , 5681 )
( 159.178.109.180 , 5754 , 5744 )
( 198.102.61.236 , 5752 , 5752 )
( 66.87.114.206 , 5742 , 5722 )
( 96.7.49.194 , 5650 , 5139 )
( 99.166.162.58 , 5622 , 5530 )
( 199.204.59.137 , 5622 , 5472 )
( 40.76.218.33 , 5564 , 5386 )
( 23.15.61.170 , 5559 , 5396 )
( 54.192.205.60 , 5551 , 5543 )
( 72.219.62.185 , 5551 , 1013 )
( 128.227.220.36 , 5531 , 5525 )
( 167.68.20.174 , 5470 , 5423 )
( 212.227.17.4 , 5441 , 5356 )
( 149.111.148.27 , 5435 , 5421 )
( 184.50.26.236 , 5393 , 5254 )
( 216.200.96.194 , 5325 , 5168 )
( 107.77.218.214 , 5260 , 5254 )
( 159.178.108.184 , 5245 , 5038 )
( 107.77.220.66 , 5229 , 4836 )
( 24.236.111.9 , 5224 , 5216 )
( 24.189.61.53 , 5197 , 4662 )
( 59.45.175.56 , 5191 , 5172 )
( 159.178.96.156 , 5142 , 4992 )
( 128.227.236.254 , 5123 , 5102 )
( 216.58.219.67 , 5122 , 5122 )
( 209.73.179.8 , 5108 , 5108 )
( 172.58.169.154 , 5068 , 4354 )
( 170.146.96.193 , 5027 , 4926 )
( 104.92.12.53 , 5012 , 5000 )
( 128.227.111.65 , 5006 , 4878 )
( 208.80.124.2 , 5003 , 5001 )
( 54.67.57.25 , 4990 , 4848 )
( 208.80.125.4 , 4971 , 4966 )
( 104.17.8.41 , 4938 , 4932 )
( 128.227.71.18 , 4932 , 4926 )
( 188.184.36.52 , 4916 , 4904 )
( 69.241.99.178 , 4866 , 4769 )
