Average Error : 245
( Flowid , Estimated flow Size , actual flow size ) 
( 104.154.198.228 , 9881 , 9835 )
( 187.237.14.200 , 9729 , 9747 )
( 159.178.108.111 , 9557 , 9848 )
( 192.210.199.106 , 9524 , 7374 )
( 104.17.183.118 , 9397 , 9956 )
( 159.178.107.44 , 9239 , 8698 )
( 165.215.209.15 , 9073 , 8982 )
( 103.26.37.253 , 9039 , 9324 )
( 88.231.33.95 , 8922 , 8968 )
( 52.84.76.175 , 8906 , 9450 )
( 159.178.237.53 , 8785 , 9681 )
( 159.178.102.100 , 8733 , 8733 )
( 54.230.161.109 , 8541 , 8673 )
( 220.244.164.103 , 8515 , 5 )
( 23.202.88.31 , 8458 , 8462 )
( 96.7.182.150 , 8369 , 8364 )
( 104.92.17.82 , 8302 , 8390 )
( 104.16.89.188 , 8134 , 7867 )
( 216.52.195.182 , 8124 , 8584 )
( 70.187.95.95 , 8116 , 9510 )
( 157.55.39.140 , 8064 , 8058 )
( 2.51.103.76 , 7989 , 20 )
( 149.169.208.76 , 7942 , 8030 )
( 73.224.42.241 , 7911 , 8910 )
( 69.252.101.144 , 7733 , 7763 )
( 68.46.255.62 , 7699 , 1150 )
( 34.206.148.175 , 7660 , 7485 )
( 98.18.16.218 , 7605 , 6944 )
( 63.251.240.12 , 7374 , 7380 )
( 128.227.112.222 , 7331 , 7904 )
( 159.178.112.71 , 7296 , 7315 )
( 68.64.22.136 , 7249 , 7262 )
( 174.70.89.126 , 7199 , 7291 )
( 91.198.117.247 , 7043 , 7394 )
( 98.18.150.191 , 7023 , 6714 )
( 159.178.129.112 , 6989 , 7011 )
( 66.249.64.14 , 6964 , 7701 )
( 71.6.146.185 , 6827 , 6808 )
( 172.217.8.80 , 6748 , 7187 )
( 159.178.137.117 , 6651 , 7581 )
( 112.198.103.2 , 6574 , 6652 )
( 104.166.47.42 , 6561 , 20 )
( 95.101.36.67 , 6524 , 6666 )
( 159.178.115.102 , 6502 , 7063 )
( 159.178.108.48 , 6501 , 6501 )
( 159.178.129.91 , 6475 , 6783 )
( 159.178.100.162 , 6392 , 6392 )
( 156.154.65.196 , 6240 , 7597 )
( 198.245.89.70 , 6160 , 6296 )
( 171.161.207.200 , 6136 , 6136 )
( 159.178.119.40 , 6091 , 6164 )
( 159.178.100.82 , 5983 , 6058 )
( 8.27.160.227 , 5915 , 7272 )
( 159.178.32.133 , 5898 , 5890 )
( 54.192.205.183 , 5859 , 6537 )
( 159.178.96.156 , 5848 , 4992 )
( 159.178.100.84 , 5814 , 5867 )
( 91.192.40.212 , 5755 , 188 )
( 204.74.115.1 , 5743 , 5681 )
( 104.92.12.53 , 5668 , 5000 )
( 220.233.26.225 , 5668 , 114 )
( 207.46.13.156 , 5623 , 5892 )
( 198.102.61.236 , 5577 , 5752 )
( 209.112.113.33 , 5575 , 6487 )
( 159.178.109.180 , 5552 , 5744 )
( 99.166.162.58 , 5548 , 5530 )
( 128.227.220.36 , 5505 , 5525 )
( 35.190.151.98 , 5490 , 5524 )
( 73.224.76.160 , 5437 , 6946 )
( 212.227.17.4 , 5400 , 5356 )
( 149.111.148.27 , 5317 , 5421 )
( 202.46.49.115 , 5270 , 242 )
( 66.87.114.206 , 5252 , 5722 )
( 218.28.50.51 , 5246 , 12 )
( 184.50.26.236 , 5241 , 5254 )
( 87.120.230.116 , 5237 , 4 )
( 216.58.219.67 , 5144 , 5122 )
( 24.236.111.9 , 5127 , 5216 )
( 128.227.236.254 , 5124 , 5102 )
( 59.45.175.56 , 5045 , 5172 )
( 107.77.218.214 , 4974 , 5254 )
( 159.178.100.33 , 4961 , 5996 )
( 188.184.36.52 , 4913 , 4904 )
( 128.227.111.65 , 4887 , 4878 )
( 104.17.8.41 , 4883 , 4932 )
( 54.67.57.25 , 4850 , 4848 )
( 159.178.139.66 , 4840 , 48 )
( 107.77.220.66 , 4834 , 4836 )
( 66.231.139.112 , 4812 , 5862 )
( 52.205.55.68 , 4786 , 130 )
( 167.68.20.174 , 4773 , 5423 )
( 189.230.4.234 , 4711 , 4676 )
( 72.47.228.169 , 4707 , 4702 )
( 23.15.61.170 , 4630 , 5396 )
( 199.204.59.137 , 4603 , 5472 )
( 104.92.16.146 , 4566 , 5571 )
( 24.189.61.53 , 4552 , 4662 )
( 94.31.29.248 , 4519 , 4112 )
( 159.178.120.116 , 4500 , 4511 )
( 208.80.125.4 , 4396 , 4966 )
